State of Residence,State of Residence Code,Age of Mother 9,Age of Mother 9 Code,Mother's Education,Mother's Education Code,Gestational Diabetes,Gestational Diabetes Code,Births,Average Age of Mother (years),Average OE Gestational Age (weeks),Average Birth Weight (grams),Average Pre-pregnancy BMI,Average Number of Prenatal Visits,Average Interval Since Last Other Pregnancy Outcome (months)
Michigan,26,20-24 years,20-24,High school graduate or GED completed,3,Unknown or Not Stated,9,19,21.53,37.58,3222.16,27.57,8.32,28
Michigan,26,20-24 years,20-24,"Some college credit, but not a degree",4,Yes,1,148,22.51,37.8,3317.55,32.31,12.2,28.03
Michigan,26,20-24 years,20-24,"Some college credit, but not a degree",4,No,2,3103,22.52,38.43,3239.47,27.69,11.43,27.84
Michigan,26,20-24 years,20-24,"Some college credit, but not a degree",4,Unknown or Not Stated,9,11,22.45,39.18,3518.55,27.34,8.6,14
Michigan,26,20-24 years,20-24,"Associate degree (AA, AS)",5,Yes,1,51,23.04,38.12,3390.37,29.94,13.14,27
Michigan,26,20-24 years,20-24,"Associate degree (AA, AS)",5,No,2,683,22.8,38.57,3294.2,27.02,11.67,25.85
Michigan,26,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,Yes,1,36,23.33,38.39,3372.14,29.66,13.91,11
Michigan,26,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,No,2,675,23.34,38.75,3355.23,26.65,11.59,17.94
Michigan,26,20-24 years,20-24,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,No,2,59,23.56,38.86,3312.05,26.74,12.27,20.67
Michigan,26,20-24 years,20-24,Unknown or Not Stated,Unk,No,2,47,21.7,37.96,3176.6,25.65,8.81,22
Michigan,26,25-29 years,25-29,8th grade or less,1,No,2,268,26.93,38.84,3331.18,26.47,6.73,37.09
Michigan,26,25-29 years,25-29,9th through 12th grade with no diploma,2,Yes,1,86,26.8,38.13,3292.56,34.57,11.95,38.42
Michigan,26,25-29 years,25-29,9th through 12th grade with no diploma,2,No,2,1397,26.77,38,3081.59,29.29,9.63,47.54
Michigan,26,25-29 years,25-29,High school graduate or GED completed,3,Yes,1,447,27.13,37.65,3241.09,33.75,12.06,40.42
Michigan,26,25-29 years,25-29,High school graduate or GED completed,3,No,2,6784,26.93,38.27,3224.38,29.28,10.75,41.37
Michigan,26,25-29 years,25-29,High school graduate or GED completed,3,Unknown or Not Stated,9,33,26.48,37.36,3195.62,26.93,6.14,29
Michigan,26,25-29 years,25-29,"Some college credit, but not a degree",4,Yes,1,428,27.2,37.97,3309.49,33.44,12.57,37.09
Michigan,26,25-29 years,25-29,"Some college credit, but not a degree",4,No,2,5612,27.06,38.38,3287.6,28.9,11.31,36.85
Michigan,26,25-29 years,25-29,"Some college credit, but not a degree",4,Unknown or Not Stated,9,19,26.89,38.89,3322.74,27.26,8.56,Not Applicable
Michigan,26,25-29 years,25-29,"Associate degree (AA, AS)",5,Yes,1,175,27.23,37.81,3263.39,31.77,12.32,34.48
Michigan,26,25-29 years,25-29,"Associate degree (AA, AS)",5,No,2,2405,27.23,38.48,3321.82,28.39,11.53,34.72
Michigan,26,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,Yes,1,349,27.57,38.17,3346.65,30.76,12.59,25.58
Michigan,26,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,No,2,5176,27.42,38.7,3379.47,26.96,11.88,27.38
Michigan,26,25-29 years,25-29,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Yes,1,98,27.99,37.93,3189.79,30.34,13.64,18.6
Michigan,26,25-29 years,25-29,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,No,2,1558,27.79,38.69,3373.63,26.76,12.12,25.62
Michigan,26,25-29 years,25-29,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Yes,1,24,28,38.42,3281.75,28.71,13.12,23.25
Michigan,26,25-29 years,25-29,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,No,2,349,28.04,38.52,3253.12,25.9,12.52,24.62
Michigan,26,25-29 years,25-29,Unknown or Not Stated,Unk,No,2,60,27.27,37.81,3096.38,26.37,9.11,51.8
Michigan,26,30-34 years,30-34,8th grade or less,1,No,2,215,31.9,39.18,3437.22,26.93,6.86,55.02
Michigan,26,30-34 years,30-34,9th through 12th grade with no diploma,2,Yes,1,70,31.99,37.73,3317.91,34.47,10.12,51.6
Michigan,26,30-34 years,30-34,9th through 12th grade with no diploma,2,No,2,832,31.72,37.57,3014.78,29.74,9.62,65.67
Michigan,26,30-34 years,30-34,High school graduate or GED completed,3,Yes,1,421,31.9,37.7,3253.68,33.94,12.36,62.8
Michigan,26,30-34 years,30-34,High school graduate or GED completed,3,No,2,4701,31.76,38,3180.65,29.72,10.46,53.99
Michigan,26,30-34 years,30-34,High school graduate or GED completed,3,Unknown or Not Stated,9,23,32.04,38.05,2998,25.66,4.57,50.75
Michigan,26,30-34 years,30-34,"Some college credit, but not a degree",4,Yes,1,553,32.06,37.73,3290.65,34.05,12.4,47.29
Michigan,26,30-34 years,30-34,"Some college credit, but not a degree",4,No,2,5127,31.87,38.15,3248.66,29.48,11.18,53.6
Michigan,26,30-34 years,30-34,"Some college credit, but not a degree",4,Unknown or Not Stated,9,16,32.25,38.87,3431.93,29.63,7.81,137
Michigan,26,30-34 years,30-34,"Associate degree (AA, AS)",5,Yes,1,229,31.92,38.05,3313.22,33.13,12.9,40.53
Michigan,26,30-34 years,30-34,"Associate degree (AA, AS)",5,No,2,2541,31.84,38.41,3319.84,28.8,11.61,42.15
Michigan,26,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,Yes,1,616,32.03,38.08,3315.66,31.36,13.18,34.74
Michigan,26,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,No,2,7177,31.92,38.65,3388,27.16,11.9,36.15
Michigan,26,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,Unknown or Not Stated,9,18,31.83,37.47,3194.5,28.51,9.47,15.67
Michigan,26,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Yes,1,290,32.12,37.94,3286.04,31.37,13.13,25.93
Michigan,26,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,No,2,3312,31.99,38.72,3404.43,26.57,12.1,32.1
Michigan,26,30-34 years,30-34,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Yes,1,69,32.04,37.87,3200.43,27.53,13.28,30.78
Michigan,26,30-34 years,30-34,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,No,2,1071,32.09,38.62,3318.5,25.25,12.12,28.78
Michigan,26,30-34 years,30-34,Unknown or Not Stated,Unk,No,2,84,31.95,37.08,2967.67,27.16,8.79,40.6
Michigan,26,35-39 years,35-39,8th grade or less,1,Yes,1,10,38.2,38.5,3145.6,31.05,8.1,74.5
Michigan,26,35-39 years,35-39,8th grade or less,1,No,2,126,36.71,39.08,3516.81,28.72,6.29,63.33
Michigan,26,35-39 years,35-39,9th through 12th grade with no diploma,2,Yes,1,47,36.53,36.87,3127.85,34.64,10.86,89.5
Michigan,26,35-39 years,35-39,9th through 12th grade with no diploma,2,No,2,301,36.53,37.41,2988.1,29.83,8.81,74.16
Michigan,26,35-39 years,35-39,High school graduate or GED completed,3,Yes,1,216,36.74,37.63,3215.87,33.74,12.04,48.52
Michigan,26,35-39 years,35-39,High school graduate or GED completed,3,No,2,1736,36.45,37.88,3166.89,30.08,10.52,64.38
Michigan,26,35-39 years,35-39,"Some college credit, but not a degree",4,Yes,1,297,36.44,37.85,3322.17,34.16,12.79,54.5
Michigan,26,35-39 years,35-39,"Some college credit, but not a degree",4,No,2,2075,36.54,37.97,3213.56,29.87,10.96,60.13
Michigan,26,35-39 years,35-39,"Some college credit, but not a degree",4,Unknown or Not Stated,9,11,36.36,39,3671.09,28.46,6.4,55.67
Michigan,26,35-39 years,35-39,"Associate degree (AA, AS)",5,Yes,1,184,36.67,37.74,3250.1,32.62,12.6,48.93
Michigan,26,35-39 years,35-39,"Associate degree (AA, AS)",5,No,2,1218,36.43,38.23,3308.75,29.3,11.34,64.6
Michigan,26,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,Yes,1,337,36.66,37.91,3309.7,31.88,13.39,39.66
Michigan,26,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,No,2,3204,36.4,38.39,3348.68,27.56,11.94,43.68
Michigan,26,35-39 years,35-39,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Yes,1,191,36.7,37.89,3335.6,31.18,13.3,46.17
Michigan,26,35-39 years,35-39,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,No,2,1710,36.48,38.48,3361.95,26.88,12.2,38.92
Michigan,26,35-39 years,35-39,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Yes,1,66,36.8,38.23,3331.59,30.5,13.45,59.7
Michigan,26,35-39 years,35-39,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,No,2,627,36.51,38.52,3336.85,25.76,12,34.59
Michigan,26,35-39 years,35-39,Unknown or Not Stated,Unk,No,2,44,36.5,37.91,3074.98,28.75,8.2,47.64
Michigan,26,40-44 years,40-44,8th grade or less,1,No,2,43,41.44,38.79,3448.42,26.63,4.44,53
Michigan,26,40-44 years,40-44,9th through 12th grade with no diploma,2,Yes,1,10,41.4,37.5,3222.4,31.63,11.3,195.5
Michigan,26,40-44 years,40-44,9th through 12th grade with no diploma,2,No,2,60,40.95,36.32,2812.77,31.06,8.75,97.76
Michigan,26,40-44 years,40-44,High school graduate or GED completed,3,Yes,1,46,41,37.78,3148.63,29.71,12.46,90.86
Michigan,26,40-44 years,40-44,High school graduate or GED completed,3,No,2,359,41.09,37.33,3074.29,29.57,10.85,77.69
Michigan,26,40-44 years,40-44,"Some college credit, but not a degree",4,Yes,1,58,40.98,37.26,3151.93,32.82,13.42,44.93
Michigan,26,40-44 years,40-44,"Some college credit, but not a degree",4,No,2,392,41.09,37.54,3129.83,30.62,10.76,64.43
Michigan,26,40-44 years,40-44,"Associate degree (AA, AS)",5,Yes,1,37,41.03,37.57,3306.3,32.16,13.43,74.4
Michigan,26,40-44 years,40-44,"Associate degree (AA, AS)",5,No,2,211,41.2,37.73,3200.14,29.42,11.03,65.59
Michigan,26,40-44 years,40-44,"Bachelor's degree (BA, AB, BS)",6,Yes,1,84,41.17,37.7,3334.7,33.06,13.44,61.29
Michigan,26,40-44 years,40-44,"Bachelor's degree (BA, AB, BS)",6,No,2,494,41.08,38.29,3368.45,27.73,12.03,57.37
Michigan,26,40-44 years,40-44,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Yes,1,58,41.31,37.59,3273.86,32.04,13.05,45.18
Michigan,26,40-44 years,40-44,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,No,2,306,41.09,38.2,3306.28,28.24,12.32,48.95
Michigan,26,40-44 years,40-44,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Yes,1,16,42.06,38.31,3269.06,28.04,14.5,23
Michigan,26,40-44 years,40-44,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,No,2,110,41.1,38.18,3361.93,26.6,12.83,39.73
Michigan,26,40-44 years,40-44,Unknown or Not Stated,Unk,No,2,14,40.86,37.86,3132.43,28.69,8.71,54
Michigan,26,45-49 years,45-49,High school graduate or GED completed,3,No,2,12,45.58,38.17,3211.92,28.78,11.67,11
Michigan,26,45-49 years,45-49,"Some college credit, but not a degree",4,No,2,18,45.61,37.83,3353.72,28.96,12.12,76.75
Michigan,26,45-49 years,45-49,"Bachelor's degree (BA, AB, BS)",6,No,2,21,45.95,38,3294,27.02,10.48,74.83
Michigan,26,45-49 years,45-49,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,No,2,20,45.55,38.4,3322.25,26.11,11.6,82.5
Minnesota,27,15-19 years,15-19,8th grade or less,1,No,2,12,17.17,39.08,3089.83,25.16,10.45,9
Minnesota,27,15-19 years,15-19,9th through 12th grade with no diploma,2,Yes,1,18,17.89,37.72,3373.11,30.91,10.72,Not Applicable
Minnesota,27,15-19 years,15-19,9th through 12th grade with no diploma,2,No,2,538,17.5,38.16,3114.45,25.25,9.41,18.02
Minnesota,27,15-19 years,15-19,High school graduate or GED completed,3,No,2,446,18.59,38.53,3208.32,25.43,10.72,17.08
Minnesota,27,15-19 years,15-19,"Some college credit, but not a degree",4,No,2,86,18.81,38.57,3231.35,24.95,11.08,17.45
Minnesota,27,20-24 years,20-24,8th grade or less,1,No,2,87,22.36,39.16,3403.9,23.94,5.99,35.78
Minnesota,27,20-24 years,20-24,9th through 12th grade with no diploma,2,Yes,1,36,22.03,38.31,3327.69,29.92,11.25,17
Minnesota,27,20-24 years,20-24,9th through 12th grade with no diploma,2,No,2,731,21.88,38.24,3134.74,28.48,9.19,33.58
Minnesota,27,20-24 years,20-24,High school graduate or GED completed,3,Yes,1,142,22.24,37.89,3268.15,32.23,11.49,24.52
Minnesota,27,20-24 years,20-24,High school graduate or GED completed,3,No,2,2461,22.15,38.35,3217.23,28.15,10.59,27.62
Minnesota,27,20-24 years,20-24,"Some college credit, but not a degree",4,Yes,1,87,22.75,37.89,3300.87,30.2,11.71,32
Minnesota,27,20-24 years,20-24,"Some college credit, but not a degree",4,No,2,1373,22.46,38.41,3303.46,27.58,11.14,27.7
Minnesota,27,20-24 years,20-24,"Associate degree (AA, AS)",5,Yes,1,23,22.78,37.35,3167.96,29.79,11.7,12.67
Minnesota,27,20-24 years,20-24,"Associate degree (AA, AS)",5,No,2,548,22.85,38.51,3318.52,27.57,11.59,20.17
Minnesota,27,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,Yes,1,27,23.48,37.81,3184.19,29.66,11.96,25
Minnesota,27,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,No,2,513,23.36,38.71,3377.58,26.73,11.57,18.95
Minnesota,27,20-24 years,20-24,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,No,2,30,23.73,38.73,3477.37,25.74,11.6,16
Minnesota,27,20-24 years,20-24,Unknown or Not Stated,Unk,No,2,27,22.11,38.22,3245.11,27.01,9.41,30.29
Minnesota,27,25-29 years,25-29,8th grade or less,1,No,2,82,26.66,38.44,3242.71,25.97,5.29,46.38
Minnesota,27,25-29 years,25-29,9th through 12th grade with no diploma,2,Yes,1,55,27.07,37.53,3467.04,35.44,11.06,64.67
Minnesota,27,25-29 years,25-29,9th through 12th grade with no diploma,2,No,2,488,26.68,38.05,3192.79,30.19,9.29,47.85
Minnesota,27,25-29 years,25-29,High school graduate or GED completed,3,Yes,1,233,27.13,37.7,3267.92,34.32,11.65,43.61
Minnesota,27,25-29 years,25-29,High school graduate or GED completed,3,No,2,2196,26.9,38.31,3270.18,29.77,10.67,42.98
Minnesota,27,25-29 years,25-29,"Some college credit, but not a degree",4,Yes,1,234,27.23,37.8,3266.85,32.79,11.87,31.7
Minnesota,27,25-29 years,25-29,"Some college credit, but not a degree",4,No,2,2197,27.11,38.32,3293.47,29.37,11.07,38.42
Minnesota,27,25-29 years,25-29,"Associate degree (AA, AS)",5,Yes,1,157,27.36,37.94,3374.82,33.82,12.31,32.77
Minnesota,27,25-29 years,25-29,"Associate degree (AA, AS)",5,No,2,1699,27.21,38.43,3331.68,28.39,11.6,34.89
Minnesota,27,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,Yes,1,316,27.68,38.23,3289.92,30.98,12.4,23.77
Minnesota,27,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,No,2,4317,27.47,38.75,3403.59,26.86,11.78,26.31
Minnesota,27,25-29 years,25-29,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Yes,1,82,27.95,38.04,3319.18,30.17,12.27,23.65
Minnesota,27,25-29 years,25-29,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,No,2,1170,27.83,38.62,3380.32,26.88,11.85,24.07
Minnesota,27,25-29 years,25-29,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Yes,1,20,28.2,38.25,3288.35,27.71,12.15,17.6
Minnesota,27,25-29 years,25-29,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,No,2,268,27.93,38.69,3377.16,25.15,11.82,20.74
Minnesota,27,25-29 years,25-29,Unknown or Not Stated,Unk,No,2,47,27.11,38.41,3284.96,28.82,9.26,31
Minnesota,27,30-34 years,30-34,8th grade or less,1,No,2,65,31.65,39.22,3525.25,27.31,6.48,64.95
Minnesota,27,30-34 years,30-34,9th through 12th grade with no diploma,2,Yes,1,55,32.11,37.71,3282.84,36.35,11.16,62.37
Minnesota,27,30-34 years,30-34,9th through 12th grade with no diploma,2,No,2,274,31.67,37.76,3120.18,30.74,8.7,76.25
Minnesota,27,30-34 years,30-34,High school graduate or GED completed,3,Yes,1,181,31.83,37.77,3255.3,33.81,12.24,65.62
Minnesota,27,30-34 years,30-34,High school graduate or GED completed,3,No,2,1396,31.7,38.12,3262.28,30.27,10.28,62.99
Minnesota,27,30-34 years,30-34,"Some college credit, but not a degree",4,Yes,1,272,32.01,37.99,3317.87,34.8,12.39,60.33
Minnesota,27,30-34 years,30-34,"Some college credit, but not a degree",4,No,2,2046,31.85,38.32,3310.02,29.67,10.99,57.06
Minnesota,27,30-34 years,30-34,"Associate degree (AA, AS)",5,Yes,1,202,31.96,38.07,3369.62,32.73,12.21,44.52
Minnesota,27,30-34 years,30-34,"Associate degree (AA, AS)",5,No,2,1821,31.84,38.39,3350.95,29.02,11.4,47.42
Minnesota,27,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,Yes,1,511,32.01,38.21,3359.91,31.11,12.96,39.03
Minnesota,27,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,No,2,6459,31.92,38.63,3410.09,26.87,11.84,35.55
Minnesota,27,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Yes,1,227,32.06,38.15,3341.39,30.67,12.89,39.17
Minnesota,27,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,No,2,2786,32.04,38.61,3396.62,26.44,12.01,33.26
Minnesota,27,30-34 years,30-34,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Yes,1,66,32.27,38.21,3272.36,27.47,11.95,35.47
Minnesota,27,30-34 years,30-34,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,No,2,964,32.18,38.62,3365.4,25.47,11.64,30.93
Minnesota,27,30-34 years,30-34,Unknown or Not Stated,Unk,No,2,45,31.67,38.84,3363.84,26.49,9.84,38.2
Minnesota,27,35-39 years,35-39,8th grade or less,1,No,2,38,37.13,39.03,3230.3,27.03,5.03,83.36
Minnesota,27,35-39 years,35-39,9th through 12th grade with no diploma,2,Yes,1,17,36.41,37.88,3612.53,34.72,9.53,76.78
Minnesota,27,35-39 years,35-39,9th through 12th grade with no diploma,2,No,2,111,36.62,37.69,3133.11,30.15,9.33,95.33
Minnesota,27,35-39 years,35-39,High school graduate or GED completed,3,Yes,1,109,36.66,37.58,3255.17,33.95,11.95,79.38
Minnesota,27,35-39 years,35-39,High school graduate or GED completed,3,No,2,533,36.36,37.83,3162.5,29.54,10.22,72.26
Minnesota,27,35-39 years,35-39,"Some college credit, but not a degree",4,Yes,1,145,36.59,37.36,3196.55,33.72,11.95,61.13
Minnesota,27,35-39 years,35-39,"Some college credit, but not a degree",4,No,2,910,36.5,38.16,3290.84,30.37,10.76,66.19
Minnesota,27,35-39 years,35-39,"Associate degree (AA, AS)",5,Yes,1,125,36.53,37.64,3253.39,32.88,11.84,52.9
Minnesota,27,35-39 years,35-39,"Associate degree (AA, AS)",5,No,2,828,36.57,38.27,3339.67,29.85,11.43,61.4
Minnesota,27,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,Yes,1,302,36.57,37.95,3307.2,31.58,12.83,41.22
Minnesota,27,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,No,2,2928,36.43,38.48,3394.18,27.47,11.86,43.43
Minnesota,27,35-39 years,35-39,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Yes,1,150,36.57,38.1,3364.64,32.14,13.5,40.09
Minnesota,27,35-39 years,35-39,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,No,2,1522,36.58,38.5,3382.85,26.99,12.11,37.46
Minnesota,27,35-39 years,35-39,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Yes,1,62,36.94,38.19,3372.5,29.51,12.25,30.76
Minnesota,27,35-39 years,35-39,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,No,2,649,36.56,38.55,3363.42,25.71,12.18,33.79
Minnesota,27,35-39 years,35-39,Unknown or Not Stated,Unk,No,2,28,36.57,36.07,2919,25.81,7.71,54.5
Minnesota,27,40-44 years,40-44,8th grade or less,1,No,2,17,41.47,39.62,3720.24,28.45,4.2,25.5
Minnesota,27,40-44 years,40-44,9th through 12th grade with no diploma,2,No,2,26,40.96,37.24,3015.8,29.26,8.15,96.73
Minnesota,27,40-44 years,40-44,High school graduate or GED completed,3,Yes,1,31,41.26,37.16,3101.65,33.07,13.9,89.33
Minnesota,27,40-44 years,40-44,High school graduate or GED completed,3,No,2,104,40.96,37.49,3066.42,29.07,10.07,87.1
Minnesota,27,40-44 years,40-44,"Some college credit, but not a degree",4,Yes,1,49,41.14,38.16,3465.12,34.7,11.83,71.71
Minnesota,27,40-44 years,40-44,"Some college credit, but not a degree",4,No,2,183,41.27,38.01,3184.32,30.19,10.97,55.75
Minnesota,27,40-44 years,40-44,"Associate degree (AA, AS)",5,Yes,1,39,40.97,37.38,3199.79,34.92,12.15,77.86
Minnesota,27,40-44 years,40-44,"Associate degree (AA, AS)",5,No,2,186,41.2,37.95,3236.4,29.77,11.11,63.16
Minnesota,27,40-44 years,40-44,"Bachelor's degree (BA, AB, BS)",6,Yes,1,72,41.42,37.67,3291.47,31.08,13.37,58.86
Minnesota,27,40-44 years,40-44,"Bachelor's degree (BA, AB, BS)",6,No,2,459,41.06,38.32,3366.94,27.38,12.13,51.5
Minnesota,27,40-44 years,40-44,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Yes,1,30,41.3,37.13,2994.5,31.01,14.67,39.12
Minnesota,27,40-44 years,40-44,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,No,2,284,41.07,38.39,3389.89,26.95,12.34,44.22
Minnesota,27,40-44 years,40-44,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Yes,1,17,41.12,38.06,3318.94,28.94,13.65,18.6
Minnesota,27,40-44 years,40-44,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,No,2,117,41.11,38.13,3311.55,27.36,12.32,30.29
Minnesota,27,40-44 years,40-44,Unknown or Not Stated,Unk,No,2,14,41.29,38.71,3441.64,26.87,9.43,116
Minnesota,27,45-49 years,45-49,"Bachelor's degree (BA, AB, BS)",6,No,2,18,45.67,36.94,3175,27.76,10.56,102
Minnesota,27,45-49 years,45-49,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,No,2,19,45.68,38.68,3290.53,29.56,11.47,64.5
Mississippi,28,Under 15 years,15,8th grade or less,1,No,2,23,13.65,37.3,2854.13,25.19,8.52,Not Applicable
Mississippi,28,Under 15 years,15,9th through 12th grade with no diploma,2,No,2,16,13.94,37.19,2839.19,24.24,6.69,Not Applicable
Mississippi,28,15-19 years,15-19,8th grade or less,1,No,2,68,17.19,37.65,2961.91,23.76,10.37,18.56
Mississippi,28,15-19 years,15-19,9th through 12th grade with no diploma,2,Yes,1,15,18.13,37,2898.73,29.98,10.33,14
Mississippi,28,15-19 years,15-19,9th through 12th grade with no diploma,2,No,2,799,17.39,37.95,3005.99,25.6,10.05,23.39
Mississippi,28,15-19 years,15-19,High school graduate or GED completed,3,Yes,1,34,18.41,38.09,3277.21,28.09,11.79,20.75
Mississippi,28,15-19 years,15-19,High school graduate or GED completed,3,No,2,1077,18.45,37.94,3003.87,26.43,10.35,19.01
Mississippi,28,15-19 years,15-19,"Some college credit, but not a degree",4,No,2,201,18.7,37.76,2979.16,27.06,11.01,17.11
Mississippi,28,15-19 years,15-19,"Associate degree (AA, AS)",5,No,2,23,18.78,38.17,3037.57,26.01,11.61,17
Mississippi,28,20-24 years,20-24,8th grade or less,1,No,2,83,22.08,37.99,3191.25,26.91,10.41,34
Mississippi,28,20-24 years,20-24,9th through 12th grade with no diploma,2,Yes,1,27,22.26,38.26,3199.11,30.21,10.85,33.33
Mississippi,28,20-24 years,20-24,9th through 12th grade with no diploma,2,No,2,712,21.79,37.82,3052.18,28.58,10.07,32.73
Mississippi,28,20-24 years,20-24,High school graduate or GED completed,3,Yes,1,134,22.42,37.72,3206.5,33.31,11.78,33
Mississippi,28,20-24 years,20-24,High school graduate or GED completed,3,No,2,3877,21.98,37.91,3052.97,28.91,10.79,28.9
Mississippi,28,20-24 years,20-24,"Some college credit, but not a degree",4,Yes,1,63,22.57,37.73,3255.32,33.09,12.4,34.78
Mississippi,28,20-24 years,20-24,"Some college credit, but not a degree",4,No,2,1648,22.16,37.85,3077.65,28.84,11.5,24.31
Mississippi,28,20-24 years,20-24,"Associate degree (AA, AS)",5,Yes,1,55,22.75,37.65,3130.65,34.04,12.93,38.73
Mississippi,28,20-24 years,20-24,"Associate degree (AA, AS)",5,No,2,1029,22.6,38,3159.06,28.88,11.64,25.01
Mississippi,28,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,Yes,1,22,23.68,37.05,2972.36,32.66,12.36,9.5
Mississippi,28,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,No,2,442,23.26,38.2,3201.24,28.19,11.87,21.44
Mississippi,28,20-24 years,20-24,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,No,2,43,23.81,38.33,3360.49,28.51,12.02,14.5
Mississippi,28,20-24 years,20-24,Unknown or Not Stated,Unk,No,2,16,22.75,36.88,2956.94,31.13,9.5,29
Mississippi,28,25-29 years,25-29,8th grade or less,1,No,2,43,26.74,38.09,3273.84,28.85,9.76,76.64
Mississippi,28,25-29 years,25-29,9th through 12th grade with no diploma,2,Yes,1,29,26.76,37.34,2981.79,37.4,10.38,48.42
Mississippi,28,25-29 years,25-29,9th through 12th grade with no diploma,2,No,2,474,26.82,37.38,2961.24,29.52,9.5,54.43
Mississippi,28,25-29 years,25-29,High school graduate or GED completed,3,Yes,1,170,26.82,37.51,3224.67,35,11.75,43.12
Mississippi,28,25-29 years,25-29,High school graduate or GED completed,3,No,2,2758,26.72,37.73,3072.76,30.78,10.86,41.73
Mississippi,28,25-29 years,25-29,"Some college credit, but not a degree",4,Yes,1,118,27.42,37.65,3261.64,33.76,12.39,48.26
Mississippi,28,25-29 years,25-29,"Some college credit, but not a degree",4,No,2,1748,26.87,37.84,3126.15,30.74,11.33,43.87
Mississippi,28,25-29 years,25-29,"Associate degree (AA, AS)",5,Yes,1,84,27.37,37.77,3370.54,33.98,13.24,34.06
Mississippi,28,25-29 years,25-29,"Associate degree (AA, AS)",5,No,2,1647,26.94,37.97,3196.02,30.36,11.92,35.72
Mississippi,28,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,Yes,1,84,27.21,37.4,3121.96,32.94,12.05,28.95
